Item,Sales_Count,Stock_Level,Demand_Score,Profit_Margin,Competitor_Saturation,Reorder_Frequency,Stock_to_Sales_Ratio,Demand_to_Stock_Ratio,Location_Bangalore,Location_Bhopal,Location_Chennai,Location_Delhi,Location_Hyderabad,Location_Indore,Location_Jaipur,Location_Kolkata,Location_Lucknow,Location_Mumbai,Location_Nagpur,Location_Pune,Location_Surat,Location_Visakhapatnam,Category_Electronics,Category_Grocery,Category_Home Essentials,Category_Stationery,Recommendation_Score,Shop_ID
Camera,0.2078787878787878,0.4585858585858586,0.8500000000000001,0.92,17,0.2078787878787878,0.3796621508613481,0.5827562326869806,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,0.20185319,8e09efc9
Detergent,0.0765656565656565,0.7333333333333334,0.475,0.6713333333333333,25,0.0765656565656565,0.6811784574967161,0.2740384615384615,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,0.076230615,8ed9e3ef
Formal Shirt,0.1274747474747474,0.3939393939393939,0.725,0.496,22,0.1274747474747474,0.3493997491488981,0.5201086956521739,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,0.12639129,4487fd35
T-shirt,0.5258585858585859,0.3939393939393939,0.8,0.1415555555555555,12,0.5258585858585859,0.2581755593803786,0.5739130434782609,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.52928334,b2f6795e
Milk,0.6052525252525253,0.7717171717171718,0.5,0.8517777777777777,15,0.6052525252525253,0.4807450289453814,0.282212086659065,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,0.6053248,ddbdd1a9
Dishwasher Liquid,0.918989898989899,0.2949494949494949,0.575,0.4706666666666667,34,0.918989898989899,0.1537003895146857,0.4440327613104524,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,0.9187852,65369c70
Dishwasher Liquid,0.6034343434343434,0.0242424242424242,0.3249999999999999,0.5617777777777778,18,0.6034343434343434,0.0151190626181176,0.3173076923076922,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,0.60454816,596a7969
Glue,0.8371717171717172,0.7212121212121213,0.275,0.248,17,0.8371717171717172,0.3925665273806906,0.1597711267605634,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,0.8383074,71e40840
T-shirt,0.496969696969697,0.8727272727272728,0.175,0.0642222222222222,21,0.496969696969697,0.5829959514170041,0.0934466019417475,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,0.4936535,a7d7cbbd
Sanitizer,0.6458585858585859,0.2686868686868687,0.8999999999999999,0.8204444444444444,19,0.6458585858585859,0.1632502761752792,0.7093949044585987,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,0.64707756,58e5e2a7
Eraser,0.8428282828282829,0.9313131313131312,0.15,0.6093333333333334,25,0.8428282828282829,0.5053716290287217,0.0776673640167363,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,0.8394412,71030534
Sanitizer,0.8161616161616162,0.1272727272727272,0.275,0.4357777777777777,19,0.8161616161616162,0.0700778642936595,0.2439516129032258,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,0.81616604,2339ebd5
Sneakers,0.9535353535353536,0.1575757575757575,0.0999999999999999,0.164,14,0.9535353535353536,0.0806618407445708,0.0863874345549737,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,0.95356417,a78d4d6e
Tablet,0.2109090909090909,0.2242424242424242,0.4499999999999999,0.376,19,0.2109090909090909,0.1851851851851851,0.3675742574257425,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,0.2129042,d3f0bbaa
Coffee,0.0511111111111111,0.307070707070707,0.525,0.5737777777777777,7,0.0511111111111111,0.2921391504901018,0.401661514683153,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,0.044293176,82446a9d
Pen,0.8143434343434344,0.006060606060606,0.975,0.1082222222222222,24,0.8143434343434344,0.0033403852577663,0.9691265060240964,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,0.81280667,e4af034d
Pulses,0.8478787878787879,0.8161616161616162,0.6,0.6917777777777778,16,0.8478787878787879,0.4416748660763092,0.3303670745272525,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,0.85006696,ba1da618
Formal Shirt,0.4973737373737374,0.0121212121212121,0.6,0.7675555555555555,10,0.4973737373737374,0.0080949811117107,0.5928143712574849,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.49834794,61d0959a
Sanitizer,0.7743434343434343,0.2585858585858586,0.25,0.5862222222222222,19,0.7743434343434343,0.1457360810656951,0.1986356340288924,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,0.7737572,0d74a896
Eggs,0.3109090909090909,0.6545454545454545,0.15,0.6895555555555556,15,0.3109090909090909,0.4993065187239944,0.0906593406593406,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,0.31181988,15073093
Pencil,0.1379797979797979,0.9313131313131312,0.475,0.5557777777777778,14,0.1379797979797979,0.8183916208059648,0.2459466527196652,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,0.14308266,708b15c8
Hoodie,0.3094949494949495,0.1616161616161616,0.075,0.1433333333333333,18,0.3094949494949495,0.1234186979327368,0.0645652173913043,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.3093448,1d97564e
Stapler,0.1313131313131313,0.3959595959595959,0.675,0.0626666666666666,22,0.1313131313131313,0.35,0.4835383502170767,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,0.12763736,7d064ba1
Stapler,0.4773737373737373,0.8484848484848485,0.6,0.594,14,0.4773737373737373,0.5743197046355806,0.3245901639344262,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,0.4733375,0d592133
Notebook,0.1424242424242424,0.3090909090909091,0.95,0.7933333333333333,23,0.1424242424242424,0.2705570291777188,0.7256944444444444,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,0.14090064,451006f3
Sanitizer,0.27010101010101,0.888888888888889,0.8500000000000001,0.0182222222222222,19,0.27010101010101,0.699856847463019,0.45,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,0.27044755,3dc16b04
Wheat,0.2094949494949494,0.4505050505050505,0.925,0.7137777777777777,8,0.2094949494949494,0.3724736930015033,0.637708913649025,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,0.20863253,b4a74791
Sweater,0.9543434343434344,0.9636363636363636,0.7,0.1784444444444444,25,0.9543434343434344,0.493074219557577,0.3564814814814814,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,0.9541618,06ca1fff
Jacket,0.7440404040404041,0.9757575757575758,0.375,0.092,13,0.7440404040404041,0.559481061044828,0.1898006134969325,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,0.74515945,578664af
Smartwatch,0.5551515151515152,0.101010101010101,0.475,0.5524444444444444,16,0.5551515151515152,0.0649519355676799,0.4314220183486238,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,0.55659795,4f01250a
Soap,0.7515151515151516,0.7393939393939395,0.275,0.7784444444444445,22,0.7515151515151516,0.4221453287197232,0.1581010452961672,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,0.75549376,d74911ba
Notebook,0.6351515151515152,0.3797979797979798,0.525,0.2151111111111111,20,0.6351515151515152,0.2322708178897949,0.3804904831625183,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,0.63998646,d34c1c20
Pen,0.5070707070707071,0.7030303030303031,0.0499999999999999,0.574,22,0.5070707070707071,0.4664879356568365,0.0293594306049821,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,0.50671166,193a01b5
Camera,0.3587878787878787,0.9131313131313132,0.425,0.9295555555555556,16,0.3587878787878787,0.6720190306274162,0.2221488912354804,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,0.35840198,e485f1ee
Hoodie,0.6664646464646465,0.5151515151515152,0.875,0.058,14,0.6664646464646465,0.3091283791974785,0.5775,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.66634995,b6616102
Tea,0.7200000000000001,0.0909090909090909,0.425,0.9648888888888888,12,0.7200000000000001,0.0528541226215644,0.3895833333333333,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,0.7198227,fabda04c
T-shirt,0.5884848484848485,0.9474747474747476,0.3249999999999999,0.5051111111111111,18,0.5884848484848485,0.5964644537708255,0.1668827800829875,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,0.5915239,b998de88
Eggs,0.0123232323232323,0.3777777777777777,0.0499999999999999,0.6073333333333333,18,0.0123232323232323,0.3731790061863899,0.036290322580645,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,0.013941897,f812281b
Glue,0.7343434343434344,0.0242424242424242,1.0,0.0488888888888888,17,0.7343434343434344,0.0139778683750727,0.9763313609467456,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,0.7362432,2807325a
Pencil,0.0298989898989899,0.3474747474747475,0.95,0.1133333333333333,11,0.0298989898989899,0.3373872106708513,0.7050224887556221,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,0.03668908,5dbc9529
Glue,0.0119191919191919,0.208080808080808,0.525,0.5197777777777778,14,0.0119191919191919,0.2056298662407665,0.4345735785953177,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,0.012218882,b9adb7b7
Jeans,0.4517171717171717,0.3333333333333333,0.025,0.7188888888888889,15,0.4517171717171717,0.2296131366546061,0.01875,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.45187476,b8314caf
Pencil,0.6004040404040405,0.1393939393939393,0.25,0.8131111111111111,15,0.6004040404040405,0.0870992173693511,0.2194148936170213,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,0.6014739,85f2f6f1
Sanitizer,0.2909090909090909,0.7515151515151516,0.0999999999999999,0.7991111111111111,21,0.2909090909090909,0.5821596244131455,0.0570934256055362,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,0.28859755,e5fd483c
Tablet,0.2167676767676767,0.3616161616161616,0.725,0.8193333333333332,17,0.2167676767676767,0.297194089324257,0.5324554896142434,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,0.2155366,53d51db8
Sugar,0.914141414141414,0.7272727272727273,0.575,0.2077777777777777,10,0.914141414141414,0.3799472295514512,0.3328947368421052,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,0.9132768,12761302
Saree,0.1595959595959596,0.894949494949495,0.425,0.504,23,0.1595959595959596,0.7717770034843207,0.2242803837953091,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.15997776,75c6425e
Soap,0.445050505050505,0.0969696969696969,0.375,0.6542222222222221,16,0.445050505050505,0.0671047113099398,0.3418508287292818,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,0.44658205,3e95d831
Pen,0.1783838383838383,0.5535353535353535,0.375,0.3413333333333333,17,0.1783838383838383,0.4697411280644609,0.2413849154746424,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,0.17795436,4eadf021
Sweater,0.6775757575757576,0.1232323232323232,0.175,0.5633333333333334,16,0.6775757575757576,0.0734585741811175,0.1558003597122302,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,0.67752004,e0d78036
Hoodie,0.0498989898989899,0.0909090909090909,0.375,0.5144444444444444,15,0.0498989898989899,0.0865884163940735,0.34375,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,0.049078904,49e1134d
Pen,0.1842424242424242,0.8505050505050505,0.175,0.5908888888888889,14,0.1842424242424242,0.7181849198225863,0.0945687772925764,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,0.18362476,567c4b18
Marker,0.2848484848484848,0.0545454545454545,0.95,0.6131111111111112,28,0.2848484848484848,0.0424528301886792,0.9008620689655172,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,0.2858509,41690a21
T-shirt,0.5254545454545455,0.1090909090909091,0.025,0.1304444444444444,21,0.5254545454545455,0.0715137067938021,0.0225409836065573,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,0.52718186,769727e7
Laptop,0.4551515151515151,0.301010101010101,0.525,0.1284444444444444,19,0.4551515151515151,0.2068582535054838,0.4035326086956522,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,0.45428568,d0c4d809
Stapler,0.9517171717171716,0.5777777777777778,0.8500000000000001,0.0786666666666666,20,0.9517171717171716,0.2960356070800125,0.5387323943661971,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,0.951302,98a8b64a
Rice,0.9915151515151516,0.3999999999999999,0.5,0.6455555555555554,15,0.9915151515151516,0.2008520998174071,0.3571428571428571,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,0.99218345,d3e6d360
Mobile,0.206060606060606,0.2242424242424242,0.7,0.4431111111111112,17,0.206060606060606,0.1859296482412059,0.5717821782178218,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,0.20668982,7e52c46a
Sneakers,0.2931313131313131,0.1111111111111111,0.7,0.3231111111111111,17,0.2931313131313131,0.0859240743633807,0.6299999999999999,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,0.29526615,d33fca70
Detergent,0.9854545454545456,0.4545454545454545,0.575,0.7093333333333334,25,0.9854545454545456,0.2289377289377288,0.3953124999999999,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,0.9878762,250e7097
Shampoo,0.6438383838383839,0.6060606060606061,0.95,0.6606666666666666,26,0.6438383838383839,0.3686862480029494,0.5915094339622642,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,0.64199877,10893c48
Sugar,0.0987878787878787,0.898989898989899,0.975,0.9284444444444444,11,0.0987878787878787,0.8181651038793897,0.5134308510638298,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,0.100029126,bc08854f
Laptop,0.3656565656565656,0.4606060606060606,0.025,0.0582222222222222,13,0.3656565656565656,0.3372781065088757,0.0171161825726141,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,0.36517498,52696f2b
Hoodie,0.2961616161616161,0.2808080808080808,0.35,0.0357777777777777,21,0.2961616161616161,0.216645885286783,0.2732649842271293,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,0.2988647,6bdfeea3
Saree,0.3359595959595959,0.7292929292929293,0.675,0.1737777777777778,16,0.3359595959595959,0.5458944503251173,0.3903329439252336,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,0.33487973,8cf1e5a8
Sanitizer,0.0367676767676767,0.0323232323232323,0.5,0.8128888888888889,24,0.0367676767676767,0.0311769290724863,0.4843444227005871,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,0.03693995,ffacd0b7
Tea,0.0666666666666666,0.6606060606060606,0.875,0.598,18,0.0666666666666666,0.6193181818181819,0.5269160583941606,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,0.06634178,3613fe75
Jeans,0.103030303030303,0.9838383838383838,0.4,0.5842222222222222,18,0.103030303030303,0.891941391941392,0.2016293279022403,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,0.102222934,6b11614c
Mobile,0.6616161616161617,0.8484848484848485,0.925,0.8517777777777777,21,0.6616161616161617,0.5106382978723404,0.5004098360655738,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,0.6620815,de4bb411
Jeans,0.144040404040404,0.9656565656565655,0.875,0.1788888888888889,18,0.144040404040404,0.8440755783153805,0.4451438848920863,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,0.14620095,ceb8efe7
Marker,0.3327272727272727,0.888888888888889,0.65,0.6986666666666665,23,0.3327272727272727,0.6669698347733819,0.3441176470588235,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,0.33556068,8cb2957b
